"","Country","GID_0","Year","Age","LifeExpectancy","Sex"
"1","Nigeria","NGA","2025","0","54.4503","M"
"2","Nigeria","NGA","2025","1","57.7277","M"
"3","Nigeria","NGA","2025","2","57.3551","M"
"4","Nigeria","NGA","2025","3","56.9271","M"
"5","Nigeria","NGA","2025","4","56.4467","M"
"6","Nigeria","NGA","2025","5","55.9147","M"
"7","Nigeria","NGA","2025","6","55.3303","M"
"8","Nigeria","NGA","2025","7","54.6935","M"
"9","Nigeria","NGA","2025","8","54.0052","M"
"10","Nigeria","NGA","2025","9","53.27","M"
"11","Nigeria","NGA","2025","10","52.4948","M"
"12","Nigeria","NGA","2025","11","51.6886","M"
"13","Nigeria","NGA","2025","12","50.8607","M"
"14","Nigeria","NGA","2025","13","50.02","M"
"15","Nigeria","NGA","2025","14","49.1745","M"
"16","Nigeria","NGA","2025","15","48.3315","M"
"17","Nigeria","NGA","2025","16","47.497","M"
"18","Nigeria","NGA","2025","17","46.6758","M"
"19","Nigeria","NGA","2025","18","45.8712","M"
"20","Nigeria","NGA","2025","19","45.0848","M"
"21","Nigeria","NGA","2025","20","44.3166","M"
"22","Nigeria","NGA","2025","21","43.5641","M"
"23","Nigeria","NGA","2025","22","42.8233","M"
"24","Nigeria","NGA","2025","23","42.089","M"
"25","Nigeria","NGA","2025","24","41.3561","M"
"26","Nigeria","NGA","2025","25","40.6209","M"
"27","Nigeria","NGA","2025","26","39.8808","M"
"28","Nigeria","NGA","2025","27","39.1351","M"
"29","Nigeria","NGA","2025","28","38.3845","M"
"30","Nigeria","NGA","2025","29","37.6303","M"
"31","Nigeria","NGA","2025","30","36.8738","M"
"32","Nigeria","NGA","2025","31","36.1162","M"
"33","Nigeria","NGA","2025","32","35.358","M"
"34","Nigeria","NGA","2025","33","34.5993","M"
"35","Nigeria","NGA","2025","34","33.8397","M"
"36","Nigeria","NGA","2025","35","33.079","M"
"37","Nigeria","NGA","2025","36","32.3176","M"
"38","Nigeria","NGA","2025","37","31.5561","M"
"39","Nigeria","NGA","2025","38","30.7958","M"
"40","Nigeria","NGA","2025","39","30.0379","M"
"41","Nigeria","NGA","2025","40","29.2835","M"
"42","Nigeria","NGA","2025","41","28.5332","M"
"43","Nigeria","NGA","2025","42","27.7868","M"
"44","Nigeria","NGA","2025","43","27.0435","M"
"45","Nigeria","NGA","2025","44","26.3024","M"
"46","Nigeria","NGA","2025","45","25.5624","M"
"47","Nigeria","NGA","2025","46","24.8238","M"
"48","Nigeria","NGA","2025","47","24.0873","M"
"49","Nigeria","NGA","2025","48","23.3546","M"
"50","Nigeria","NGA","2025","49","22.6277","M"
"51","Nigeria","NGA","2025","50","21.9083","M"
"52","Nigeria","NGA","2025","51","21.1976","M"
"53","Nigeria","NGA","2025","52","20.4954","M"
"54","Nigeria","NGA","2025","53","19.8007","M"
"55","Nigeria","NGA","2025","54","19.1118","M"
"56","Nigeria","NGA","2025","55","18.4273","M"
"57","Nigeria","NGA","2025","56","17.7463","M"
"58","Nigeria","NGA","2025","57","17.0696","M"
"59","Nigeria","NGA","2025","58","16.3986","M"
"60","Nigeria","NGA","2025","59","15.7357","M"
"61","Nigeria","NGA","2025","60","15.0834","M"
"62","Nigeria","NGA","2025","61","14.4439","M"
"63","Nigeria","NGA","2025","62","13.8182","M"
"64","Nigeria","NGA","2025","63","13.2066","M"
"65","Nigeria","NGA","2025","64","12.6085","M"
"66","Nigeria","NGA","2025","65","12.023","M"
"67","Nigeria","NGA","2025","66","11.4498","M"
"68","Nigeria","NGA","2025","67","10.8891","M"
"69","Nigeria","NGA","2025","68","10.3419","M"
"70","Nigeria","NGA","2025","69","9.81","M"
"71","Nigeria","NGA","2025","70","9.295","M"
"72","Nigeria","NGA","2025","71","8.7983","M"
"73","Nigeria","NGA","2025","72","8.3204","M"
"74","Nigeria","NGA","2025","73","7.8611","M"
"75","Nigeria","NGA","2025","74","7.4197","M"
"76","Nigeria","NGA","2025","75","6.9952","M"
"77","Nigeria","NGA","2025","76","6.5869","M"
"78","Nigeria","NGA","2025","77","6.1948","M"
"79","Nigeria","NGA","2025","78","5.8195","M"
"80","Nigeria","NGA","2025","79","5.4617","M"
"81","Nigeria","NGA","2025","80","5.1223","M"
"82","Nigeria","NGA","2025","81","4.8011","M"
"83","Nigeria","NGA","2025","82","4.4976","M"
"84","Nigeria","NGA","2025","83","4.2099","M"
"85","Nigeria","NGA","2025","84","3.9363","M"
"86","Nigeria","NGA","2025","85","3.6755","M"
"87","Nigeria","NGA","2025","86","3.4268","M"
"88","Nigeria","NGA","2025","87","3.1913","M"
"89","Nigeria","NGA","2025","88","2.9707","M"
"90","Nigeria","NGA","2025","89","2.7675","M"
"91","Nigeria","NGA","2025","90","2.5836","M"
